,title,genres
295,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action, Crime"
296,One Flew Over the Cuckoo's Nest,Drama
297,21 Jump Street,"Action, Comedy, Crime"
298,Looper,"Action, Thriller, Science Fiction"
299,The Usual Suspects,"Drama, Crime, Thriller"
300,Zodiac,"Crime, Drama, Mystery, Thriller"
301,Mr. & Mrs. Smith,"Action, Comedy, Drama, Thriller"
302,Kingsman: The Golden Circle,"Action, Adventure, Comedy"
303,Jaws,"Horror, Thriller, Adventure"
304,Night at the Museum,"Action, Adventure, Comedy, Family, Fantasy"
305,Insurgent,"Action, Adventure, Science Fiction, Thriller"
306,A Beautiful Mind,"Drama, Romance"
307,Soul,"Animation, Family, Comedy, Fantasy, Drama"
308,Aladdin,"Adventure, Fantasy, Romance, Family"
309,Dune,"Science Fiction, Adventure"
310,"Three Billboards Outside Ebbing, Missouri","Crime, Drama"
311,X2,"Adventure, Action, Science Fiction"
312,The Mask,"Romance, Comedy, Crime, Fantasy"
313,Miss Peregrine's Home for Peculiar Children,"Fantasy, Adventure"
314,Troy,"Adventure, History, War, Action"
315,(500) Days of Summer,"Comedy, Drama, Romance"
316,Braveheart,"Action, Drama, History, War"
317,The Lion King,"Adventure, Drama, Family"
318,Star Trek,"Science Fiction, Action, Adventure"
319,Indiana Jones and the Last Crusade,"Adventure, Action"
320,Black Widow,"Action, Adventure, Science Fiction"
321,Psycho,"Horror, Drama, Thriller"
322,Beauty and the Beast,"Romance, Family, Animation, Fantasy"
323,Murder on the Orient Express,"Mystery, Drama, Crime"
324,Men in Black II,"Action, Adventure, Comedy, Science Fiction"
325,Bird Box,"Horror, Thriller, Drama"
326,Mission: Impossible - Ghost Protocol,"Action, Thriller, Adventure"
327,The Fast and the Furious,"Action, Crime, Thriller"
328,Zack Snyder's Justice League,"Action, Adventure, Fantasy"
329,Venom: Let There Be Carnage,"Science Fiction, Action, Adventure"
330,Requiem for a Dream,"Crime, Drama"
331,The Pursuit of Happyness,Drama
332,The Matrix Revolutions,"Adventure, Action, Thriller, Science Fiction"
333,Toy Story 4,"Family, Adventure, Animation, Comedy, Fantasy"
334,Ice Age: The Meltdown,"Animation, Family, Comedy, Adventure"
335,Godzilla vs. Kong,"Action, Science Fiction, Thriller"
