,title,genres
1082,Cinema Paradiso,"Drama, Romance"
1083,The Fly,"Horror, Science Fiction"
1084,Coming to America,"Comedy, Romance"
1085,Evan Almighty,"Fantasy, Comedy, Family"
1086,Journey 2: The Mysterious Island,"Adventure, Action, Science Fiction"
1087,Ghostbusters II,"Comedy, Fantasy"
1088,The King's Man,"Action, Adventure, Thriller"
1089,Dear John,"Drama, Romance, War"
1090,The Internship,Comedy
1091,Once Upon a Time in the West,"Drama, Western"
1092,Grown Ups 2,Comedy
1093,Sing 2,"Animation, Family"
1094,Insidious: Chapter 2,"Horror, Thriller"
1095,Lone Survivor,"War, Action, Drama, History"
1096,One Day,"Drama, Romance"
1097,Ready or Not,"Comedy, Horror, Thriller"
1098,Philadelphia,Drama
1099,Wrath of the Titans,"Fantasy, Adventure"
1100,Upgrade,"Action, Thriller, Science Fiction"
1101,Mad Max,"Adventure, Action, Thriller, Science Fiction"
1102,Ghostbusters: Afterlife,"Fantasy, Comedy, Adventure"
1103,Mama,Horror
1104,Steve Jobs,"Drama, History"
1105,Bad Moms,Comedy
1106,Red Dragon,"Crime, Drama, Thriller"
1107,Silent Hill,"Horror, Mystery"
1108,28 Weeks Later,"Horror, Thriller, Science Fiction"
1109,Breakfast at Tiffany's,"Comedy, Romance, Drama"
1110,Fast X,"Action, Crime, Thriller"
1111,Changeling,"Crime, Drama, Mystery"
1112,Unbroken,"Drama, War"
1113,A Simple Favor,"Crime, Thriller, Mystery, Comedy"
1114,Sex Tape,Comedy
1115,Why Him?,Comedy
1116,Raging Bull,Drama
1117,Horrible Bosses 2,Comedy
1118,The Skin I Live In,"Drama, Horror, Mystery, Thriller"
1119,xXx,"Action, Adventure, Thriller"
1120,It's a Wonderful Life,"Drama, Family, Fantasy"
1121,Superman Returns,"Science Fiction, Action, Adventure"
1122,Charlie's Angels,"Action, Adventure, Comedy, Crime, Thriller"
1123,Old,"Thriller, Mystery, Horror"
1124,Atonement,"Drama, Romance"
1125,Close Encounters of the Third Kind,"Science Fiction, Drama"
1126,Amadeus,"History, Music, Drama"
1127,Dances with Wolves,"Adventure, Drama, Western"
1128,The Edge of Seventeen,"Comedy, Drama"
1129,The Other Guys,"Action, Comedy, Crime"
1130,Joy,"Drama, Comedy"
1131,In the Heart of the Sea,"Thriller, Drama, Adventure, Action, History"
1132,Invictus,"Drama, History"
1133,The Old Guard,"Action, Fantasy"
1134,Anchorman: The Legend of Ron Burgundy,Comedy
1135,Hercules,"Action, Adventure"
1136,2 Guns,"Action, Comedy, Crime"
1137,The Autopsy of Jane Doe,"Horror, Mystery"
1138,Penguins of Madagascar,"Family, Animation, Adventure, Comedy"
1139,Gods of Egypt,"Action, Adventure, Fantasy"
1140,The Fugitive,"Action, Thriller, Drama"
1141,The Blues Brothers,"Music, Comedy, Action, Crime"
1142,Fantastic Beasts: The Secrets of Dumbledore,"Fantasy, Adventure, Family"
1143,Vanilla Sky,"Mystery, Science Fiction, Romance, Fantasy, Thriller, Drama"
1144,The Adam Project,"Adventure, Science Fiction"
1145,Gangster Squad,"Crime, Drama, Action, Thriller"
1146,Treasure Planet,"Adventure, Animation, Family, Fantasy, Science Fiction"
1147,The Karate Kid,"Action, Family, Drama"
1148,The Vow,"Drama, Romance"
1149,"O Brother, Where Art Thou?","Adventure, Comedy, Crime"
1150,Resident Evil: Extinction,"Horror, Action, Science Fiction"
1151,The Parent Trap,"Comedy, Family"
1152,Riddick,"Science Fiction, Action, Thriller"
1153,American Wedding,"Comedy, Romance"
1154,A Walk to Remember,"Drama, Romance"
1155,The Village,"Drama, Mystery, Thriller"
1156,A Million Ways to Die in the West,"Comedy, Western"
1157,Ponyo,"Animation, Fantasy, Family"
1158,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure"
1159,Underworld: Awakening,"Fantasy, Action, Horror"
1160,Match Point,"Drama, Thriller, Crime, Romance"
1161,Kingdom of Heaven,"Drama, Action, Adventure, History, War"
1162,A Fistful of Dollars,Western
1163,Oppenheimer,"Drama, History"
1164,The Host,"Action, Adventure, Science Fiction"
1165,Con Air,"Action, Thriller, Crime"
1166,Truth or Dare,"Thriller, Horror"
1167,RED 2,"Action, Comedy, Crime, Thriller"
1168,Rocky III,Drama
1169,Scary Movie 3,Comedy
1170,Stardust,"Adventure, Fantasy, Romance, Family"
1171,The Judge,Drama
1172,The Hunt,Drama
1173,Lucky Number Slevin,"Drama, Thriller, Crime, Mystery"
1174,Death Note,"Crime, Fantasy, Horror, Thriller"
1175,North by Northwest,"Mystery, Thriller"
1176,Castle in the Sky,"Adventure, Fantasy, Animation, Action, Family, Romance"
1177,Predators,"Science Fiction, Action, Thriller"
1178,Space Jam: A New Legacy,"Family, Animation, Comedy, Science Fiction"
1179,Atlantis: Milo's Return,"Fantasy, Animation, Science Fiction, Family, Action"
1180,Akira,"Animation, Science Fiction, Action"
1181,The Chronicles of Riddick,"Action, Science Fiction"
1182,Before Sunrise,"Drama, Romance"
1183,Underworld: Evolution,"Fantasy, Action, Thriller"
1184,The League of Extraordinary Gentlemen,"Fantasy, Action, Thriller, Science Fiction"
1185,R.I.P.D.,"Fantasy, Action, Comedy"
1186,The Heat,"Action, Comedy, Crime"
1187,The NeverEnding Story,"Adventure, Fantasy, Family, Drama"
1188,Roma,Drama
1189,The Mask of Zorro,"Action, Adventure"
1190,Morbius,"Action, Science Fiction, Fantasy"
1191,Home,"Fantasy, Comedy, Animation, Science Fiction, Family"
1192,The Menu,"Comedy, Thriller, Horror"
1193,Gone with the Wind,"Drama, War, Romance"
1194,Rush Hour 2,"Action, Comedy, Crime"
1195,The First Purge,"Horror, Action, Thriller"
1196,The Birds,Horror
1197,The Ballad of Buster Scruggs,"Western, Comedy, Drama"
1198,Scream 2,"Horror, Mystery"
1199,The Last Airbender,"Action, Adventure, Fantasy"
1200,True Lies,"Action, Thriller"
1201,Black Mirror: Bandersnatch,"Science Fiction, Mystery, Drama, Thriller, TV Movie"
1202,Knocked Up,"Comedy, Romance, Drama"
1203,Final Destination 2,"Horror, Mystery"
1204,Resident Evil: Retribution,"Action, Horror, Science Fiction"
1205,Planet of the Apes,"Thriller, Science Fiction, Action, Adventure"
1206,When Harry Met Sally...,"Comedy, Romance, Drama"
1207,What's Eating Gilbert Grape,"Romance, Drama"
1208,Love and Monsters,"Comedy, Action, Adventure, Fantasy"
1209,Army of the Dead,"Action, Crime, Drama, Horror, Science Fiction, Thriller, Fantasy"
1210,Monster House,"Animation, Comedy, Family, Fantasy"
1211,Beverly Hills Cop,"Action, Comedy, Crime"
1212,The Prince of Egypt,"Adventure, Animation, Drama, Family"
1213,Garfield,"Animation, Comedy, Family"
1214,Elf,"Comedy, Family, Fantasy"
1215,Spring Breakers,"Drama, Crime"
1216,Yesterday,"Comedy, Fantasy, Music, Romance"
1217,Chicken Little,"Animation, Family, Comedy"
1218,Legally Blonde,"Comedy, Romance"
1219,What Women Want,"Comedy, Romance"
1220,La Haine,Drama
1221,Lights Out,"Horror, Thriller, Mystery"
1222,Dawn of the Dead,"Horror, Action"
1223,Seven Psychopaths,"Comedy, Crime"
1224,Straight Outta Compton,"Drama, Music, History"
1225,Fracture,Thriller
1226,A Cure for Wellness,"Horror, Mystery, Science Fiction"
1227,The Northman,"Action, Adventure, Fantasy"
1228,Unknown,"Action, Mystery, Thriller"
1229,"Everything, Everything","Drama, Romance"
1230,Searching,"Thriller, Mystery, Drama"
1231,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Science Fiction"
1232,Miss Congeniality,"Comedy, Crime, Action"
1233,Blade: Trinity,"Action, Horror, Fantasy"
1234,The Evil Dead,Horror
1235,"Hail, Caesar!","Comedy, Crime"
1236,A Silent Voice: The Movie,"Animation, Drama"
1237,Begin Again,"Comedy, Music, Romance, Drama"
1238,Kiki's Delivery Service,"Animation, Family, Fantasy, Adventure"
1239,Billy Elliot,"Drama, Comedy, Music"
1240,The Grey,"Drama, Thriller, Action, Adventure"
1241,The Boy,"Horror, Thriller, Mystery"
1242,Puss in Boots,"Animation, Family, Fantasy, Adventure, Comedy"
1243,Annie Hall,"Comedy, Drama, Romance"
1244,Rambo,"Action, Thriller, War"
1245,For a Few Dollars More,Western
1246,The Sword in the Stone,"Animation, Family"
1247,The Patriot,"Drama, History, War, Action"
1248,47 Ronin,"Drama, Action, Fantasy"
1249,The Crow,"Fantasy, Action, Thriller"
1250,The Man in the Iron Mask,"Adventure, Action, Drama"
1251,Revolutionary Road,"Drama, Romance"
1252,Klaus,"Animation, Family, Adventure, Comedy, Fantasy"
1253,Godzilla,"Science Fiction, Action, Thriller"
1254,High School Musical 2,"Comedy, Drama, Family, Music, Romance, TV Movie"
1255,Sin City: A Dame to Kill For,"Crime, Action, Thriller"
1256,Ghost Rider: Spirit of Vengeance,"Action, Fantasy, Thriller"
1257,Legend,"Crime, Thriller"
1258,Rosemary's Baby,"Drama, Horror, Thriller"
1259,Rambo: Last Blood,"Action, Thriller, Drama"
1260,Resident Evil: Afterlife,"Action, Adventure, Horror, Science Fiction"
1261,GoldenEye,"Adventure, Action, Thriller"
1262,The Neon Demon,"Thriller, Horror"
1263,The Smurfs,"Animation, Family, Adventure, Comedy, Fantasy"
1264,Lincoln,"History, Drama"
1265,Goosebumps,"Adventure, Horror, Comedy"
1266,Final Destination 3,"Horror, Mystery"
1267,Rambo: First Blood Part II,"Action, Adventure, Thriller, War"
1268,The Croods: A New Age,"Animation, Family, Adventure, Fantasy, Comedy"
1269,The Descent,"Adventure, Horror"
1270,White Chicks,"Comedy, Crime"
1271,Identity,"Mystery, Thriller"
1272,"Me, Myself & Irene",Comedy
1273,50/50,"Comedy, Drama"
1274,Step Up,"Music, Drama, Romance, Crime"
1275,How to Lose a Guy in 10 Days,"Comedy, Romance"
1276,Enemy of the State,"Action, Drama, Thriller"
1277,Flushed Away,"Adventure, Animation, Comedy, Family"
1278,Freaky Friday,"Comedy, Family, Fantasy"
1279,The Road to El Dorado,"Family, Adventure, Animation, Comedy, Fantasy"
1280,Basic Instinct,"Thriller, Mystery"
1281,Downsizing,"Drama, Science Fiction"
1282,Death Race,"Action, Thriller, Science Fiction"
1283,Vacation,Comedy
1284,Pineapple Express,"Action, Comedy, Crime"
1285,Superman,"Science Fiction, Action, Adventure"
1286,The Road,"Adventure, Drama"
1287,Downfall,"Drama, History, War"
1288,The Bucket List,"Drama, Comedy"
1289,Vicky Cristina Barcelona,"Drama, Romance"
1290,As Good as It Gets,"Drama, Comedy, Romance"
1291,Ip Man,"Drama, Action, History"
1292,You Don't Mess with the Zohan,"Comedy, Action"
1293,Carol,"Romance, Drama"
1294,Chinatown,"Crime, Drama, Mystery, Thriller"
1295,Jennifer's Body,"Horror, Comedy"
1296,"Girl, Interrupted",Drama
1297,Molly's Game,"Drama, Crime"
1298,Babel,Drama
1299,Carrie,"Horror, Thriller"
1300,Underworld: Blood Wars,"Fantasy, Action, Thriller, Horror"
1301,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Action, Animation, Adventure, Fantasy, Thriller"
1302,Crank,"Action, Thriller, Crime"
1303,The Lucky One,"Drama, Romance"
1304,The Killing of a Sacred Deer,"Drama, Thriller, Mystery"
1305,The Deer Hunter,"Drama, War"
1306,The Call of the Wild,"Adventure, Family, Drama"
1307,The Grinch,"Animation, Family, Comedy, Fantasy"
1308,Sunshine,"Drama, Science Fiction, Thriller"
1309,Dolittle,"Family, Fantasy, Adventure"
1310,Modern Times,"Comedy, Drama"
1311,Phone Booth,Thriller
1312,Gone Baby Gone,"Crime, Drama, Mystery"
1313,Valkyrie,"Drama, Thriller, War"
1314,He's Just Not That Into You,"Comedy, Romance, Drama"
1315,Drag Me to Hell,"Horror, Thriller"
1316,The Angry Birds Movie,"Animation, Adventure, Comedy"
1317,Remember Me,"Drama, Romance"
1318,Crazy Rich Asians,"Comedy, Drama, Romance"
1319,Gerald's Game,"Horror, Thriller"
1320,Finding Neverland,Drama
1321,Kubo and the Two Strings,"Animation, Adventure, Family"
1322,Paddington,"Comedy, Adventure, Family"
1323,The Last Witch Hunter,"Fantasy, Action, Adventure"
1324,To the Bone,Drama
1325,Memories of Murder,"Crime, Drama, Thriller"
1326,Saw IV,"Horror, Thriller, Crime"
1327,The Other Woman,"Comedy, Romance"
1328,Isn't It Romantic,"Comedy, Fantasy, Romance"
1329,Waterworld,"Adventure, Action, Science Fiction"
1330,The Wrestler,"Drama, Romance"
1331,Secret Window,"Mystery, Thriller"
1332,Sierra Burgess Is a Loser,"Comedy, Drama, Romance"
1333,Underworld: Rise of the Lycans,"Fantasy, Action, Thriller"
1334,Bicentennial Man,"Science Fiction, Drama"
1335,Up in the Air,"Drama, Romance"
1336,Demolition Man,"Crime, Action, Science Fiction"
1337,The Monuments Men,"War, Drama, History, Action"
1338,The Lives of Others,"Drama, Thriller"
1339,The Disaster Artist,"Comedy, Drama"
1340,Jarhead: Law of Return,War
1341,Get Smart,"Action, Comedy, Thriller"
1342,Hostel,Horror
1343,Road to Perdition,"Crime, Drama, Thriller"
1344,The Babysitter,"Comedy, Horror"
1345,High School Musical 3: Senior Year,"Comedy, Romance, Drama, Family, Music"
1346,Trolls,"Family, Animation, Fantasy, Adventure, Comedy, Music"
1347,The Ugly Truth,"Comedy, Romance"
1348,Jigsaw,"Horror, Mystery, Thriller"
1349,Falling Down,"Crime, Drama, Thriller"
1350,The Handmaiden,"Thriller, Drama, Romance"
1351,Scream 4,"Horror, Mystery"
1352,Big,"Fantasy, Drama, Comedy, Romance, Family"
1353,The Naked Gun: From the Files of Police Squad!,"Comedy, Crime"
1354,Mad Max 2,"Adventure, Action, Thriller, Science Fiction"
1355,Big Eyes,Drama
1356,Safe House,"Action, Thriller"
1357,Transporter 2,"Action, Thriller, Crime"
1358,Bad Times at the El Royale,"Thriller, Drama, Mystery, Crime"
1359,Enemy at the Gates,"Drama, War, History"
1360,The Woman in Black,"Drama, Horror, Thriller"
1361,Transformers: Rise of the Beasts,"Action, Adventure, Science Fiction"
1362,Dr. No,"Adventure, Action, Thriller"
1363,Nope,"Horror, Science Fiction, Mystery"
1364,9,"Action, Adventure, Animation, Science Fiction, Thriller"
1365,Goldfinger,"Adventure, Action, Thriller"
1366,Swiss Army Man,"Comedy, Drama, Romance, Fantasy, Adventure"
1367,Disturbia,"Thriller, Drama, Mystery"
1368,The Happening,"Thriller, Science Fiction"
1369,Before I Fall,"Drama, Mystery, Thriller, Fantasy"
1370,Serial (Bad) Weddings,Comedy
1371,3:10 to Yuma,Western
1372,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy, Family, Science Fiction"
1373,What We Do in the Shadows,"Comedy, Horror"
1374,The Darjeeling Limited,"Adventure, Drama, Comedy"
1375,Midnight Sun,"Romance, Drama"
1376,Sleepers,"Crime, Drama, Thriller"
1377,Seven Samurai,"Action, Drama"
1378,Magnolia,Drama
1379,The Talented Mr. Ripley,"Thriller, Crime, Drama"
1380,Unstoppable,"Action, Thriller"
1381,Blue Jasmine,Drama
1382,Logan Lucky,"Comedy, Crime, Action, Drama"
1383,Fall,Thriller
1384,The Lorax,"Animation, Family"
1385,13 Hours: The Secret Soldiers of Benghazi,"War, Action, History, Drama"
1386,Blended,"Comedy, Romance"
1387,Phantom Thread,"Drama, Romance"
1388,Homefront,"Action, Thriller"
1389,M3GAN,"Science Fiction, Horror"
1390,Serenity,"Science Fiction, Action, Adventure, Thriller"
1391,Rio 2,"Animation, Adventure, Comedy, Family"
1392,Melancholia,"Drama, Science Fiction"
1393,The Return of Jafar,"Family, Adventure, Animation, Romance"
1394,Point Break,"Action, Thriller, Crime"
1395,Die Another Day,"Adventure, Action, Thriller"
1396,Annabelle Comes Home,"Horror, Mystery, Thriller"
1397,The Last Song,"Drama, Family, Romance"
1398,Brothers,"Drama, Thriller, War"
1399,Crash,Drama
1400,Sicario: Day of the Soldado,"Action, Crime, Thriller"
1401,Planet Terror,"Horror, Action, Thriller"
1402,The Girl Next Door,"Comedy, Romance"
1403,DodgeBall: A True Underdog Story,Comedy
1404,A Few Good Men,Drama
1405,Battle: Los Angeles,"Science Fiction, Action"
1406,Asterix & Obelix: Mission Cleopatra,"Family, Fantasy, Comedy, Adventure"
1407,The Bone Collector,"Drama, Mystery, Thriller, Crime"
1408,Nausicaä of the Valley of the Wind,"Adventure, Animation, Fantasy"
1409,Angel Has Fallen,"Action, Thriller"
1410,Rocky Balboa,Drama
1411,Unfriended,"Horror, Mystery, Thriller"
1412,This Means War,"Action, Comedy, Romance"
1413,Spy Kids,"Action, Comedy, Family, Adventure"
1414,War Horse,"War, History, Drama, Adventure"
1415,The Elephant Man,"Drama, History"
1416,Scream 3,"Horror, Mystery"
1417,Identity Thief,"Comedy, Crime"
1418,Some Like It Hot,"Comedy, Romance, Crime"
1419,Johnny English,"Adventure, Action, Comedy"
1420,Burnt,Drama
1421,The BFG,"Adventure, Family, Fantasy"
1422,The Day the Earth Stood Still,"Drama, Science Fiction, Thriller"
1423,Forgetting Sarah Marshall,"Comedy, Romance, Drama"
1424,101 Dalmatians,"Family, Comedy"
1425,All Quiet on the Western Front,"Drama, War"
1426,"Extremely Wicked, Shockingly Evil and Vile",Crime
1427,Under the Skin,"Thriller, Science Fiction, Drama"
1428,The Perfect Date,"Romance, Comedy"
1429,The Gray Man,"Action, Thriller"
1430,P.S. I Love You,"Drama, Romance"
1431,Pitch Perfect 3,"Comedy, Music"
1432,Insidious: Chapter 3,"Horror, Thriller, Mystery"
1433,Hanna,"Action, Thriller, Adventure"
1434,Saving Mr. Banks,"Comedy, Drama, History"
1435,Mamma Mia! Here We Go Again,"Comedy, Romance"
1436,Hellboy,"Fantasy, Horror, Action, Adventure"
1437,A Monster Calls,"Drama, Fantasy"
1438,Happy Death Day 2U,"Comedy, Horror, Science Fiction"
1439,Closer,"Drama, Romance"
1440,Black Mass,"Drama, Crime, History"
1441,The New Mutants,"Science Fiction, Horror, Action, Mystery, Adventure"
1442,"As Above, So Below","Horror, Thriller"
1443,Saw V,"Horror, Thriller, Crime"
1444,Mary Poppins Returns,"Fantasy, Family, Comedy"
1445,Transporter 3,"Action, Adventure, Thriller, Crime"
1446,Natural Born Killers,"Crime, Thriller, Drama"
1447,Final Destination 5,"Horror, Mystery"
1448,Nymphomaniac: Vol. I,Drama
1449,Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror"
1450,Lethal Weapon 2,"Action, Adventure, Comedy, Crime, Thriller"
1451,Willy Wonka & the Chocolate Factory,"Family, Fantasy, Comedy"
1452,Stargate,"Action, Adventure, Science Fiction"
1453,The Raid,"Action, Thriller, Crime"
1454,Cape Fear,Thriller
1455,Catwoman,"Action, Fantasy, Mystery, Crime"
1456,Wild Wild West,"Action, Adventure, Comedy, Science Fiction, Western"
1457,Planet of the Apes,"Science Fiction, Adventure, Drama, Action"
1458,Vice,"Comedy, Drama"
1459,Austin Powers: International Man of Mystery,"Science Fiction, Comedy, Crime"
1460,Harry Potter 20th Anniversary: Return to Hogwarts,Documentary
1461,Mechanic: Resurrection,"Action, Crime, Thriller"
1462,Finch,"Science Fiction, Drama, Adventure"
1463,Wild Tales,"Drama, Thriller, Comedy"
1464,Battle Royale,"Drama, Thriller, Action"
1465,A Dog's Purpose,"Adventure, Comedy, Fantasy, Family, Drama"
1466,Before Sunset,"Drama, Romance"
1467,The Longest Yard,Comedy
1468,The Wave,"Drama, Thriller"
1469,Chocolat,"Comedy, Drama, Romance"
1470,Pompeii,"Action, Adventure, History, Romance, Drama"
1471,Minions: The Rise of Gru,"Animation, Comedy, Family"
1472,Primal Fear,"Crime, Drama, Mystery, Thriller"
1473,Lightyear,"Animation, Action, Adventure, Family, Science Fiction"
1474,Thelma & Louise,"Drama, Thriller, Crime, Adventure"
1475,Turbo,"Animation, Family"
1476,How to Be Single,"Comedy, Romance"
1477,Austin Powers: The Spy Who Shagged Me,"Adventure, Comedy, Crime, Science Fiction"
1478,Machete,"Action, Comedy, Thriller"
1479,Johnny English Reborn,"Crime, Action, Comedy"
1480,Death on the Nile,"Mystery, Crime, Thriller"
1481,Eragon,"Fantasy, Action, Adventure, Family"
1482,The Great Dictator,"Comedy, War"
1483,The Devil All the Time,"Crime, Drama, Thriller"
1484,Horton Hears a Who!,"Animation, Comedy, Family, Adventure, Fantasy"
1485,I Origins,"Science Fiction, Drama"
1486,Mirror Mirror,"Adventure, Comedy, Family, Fantasy"
1487,Little Fockers,"Comedy, Romance"
1488,The Artist,"Drama, Comedy, Romance"
1489,Brazil,"Comedy, Science Fiction"
1490,Alexander,"War, History, Action, Adventure, Drama, Romance"
1491,Frankenweenie,"Animation, Comedy, Family"
1492,Scent of a Woman,Drama
1493,The Graduate,"Comedy, Drama, Romance"
1494,Hitman,"Action, Thriller, Drama"
1495,Monster Hunter,"Action, Fantasy, Adventure"
1496,The Princess Diaries 2: Royal Engagement,"Comedy, Drama, Family, Romance"
1497,Ghost in the Shell,"Action, Animation, Science Fiction"
1498,Big Daddy,"Comedy, Drama"
1499,Chef,Comedy
1500,A Cinderella Story,"Comedy, Family, Romance"
1501,Zathura: A Space Adventure,"Science Fiction, Adventure, Family"
1502,Eastern Promises,"Thriller, Crime, Mystery"
1503,The Gift,"Thriller, Mystery, Drama"
1504,The Cloverfield Paradox,"Horror, Science Fiction, Action, Thriller"
1505,The Green Hornet,"Action, Crime, Comedy"
1506,Scary Movie 4,Comedy
1507,The Sound of Music,"Drama, Family, Music, Romance"
1508,Patch Adams,"Comedy, Drama"
1509,The Walk,"Drama, Crime, Comedy, Thriller"
1510,The Number 23,"Thriller, Drama, Mystery"
1511,You've Got Mail,"Comedy, Romance"
1512,Red Riding Hood,"Action, Adventure, Horror, Fantasy, Thriller"
1513,Blue Valentine,"Drama, Romance"
1514,Pet Sematary,"Horror, Thriller"
1515,The Lost City,"Action, Adventure, Comedy"
1516,The Fox and the Hound,"Adventure, Animation, Drama, Family"
1517,The Final Destination,"Horror, Mystery"
1518,Daddy's Home,Comedy
1519,Cruel Intentions,"Drama, Romance"
1520,The Flash,"Action, Adventure, Science Fiction"
1521,Jerry Maguire,"Comedy, Drama, Romance"
1522,Blue Velvet,"Crime, Mystery, Thriller"
1523,The Last Duel,"History, Drama, Action"
1524,The Mechanic,"Action, Thriller, Crime"
1525,Life As We Know It,"Comedy, Romance, Drama"
1526,Robin Hood: Prince of Thieves,"Action, Adventure, Drama, Romance"
1527,End of Watch,"Crime, Drama, Thriller"
1528,The Hunt for Red October,"Action, Adventure, Thriller"
1529,The Lincoln Lawyer,"Crime, Drama, Thriller"
1530,The Longest Ride,"Drama, Romance"
1531,Raw,"Drama, Horror"
1532,Tremors,"Horror, Action, Science Fiction"
1533,Brooklyn,"Romance, Drama"
1534,Trading Places,Comedy
1535,Sister Act,"Music, Comedy"
1536,The King,"Drama, History, War"
1537,Porco Rosso,"Family, Comedy, Animation, Adventure"
1538,Dumb and Dumber To,Comedy
1539,Surrogates,"Science Fiction, Action, Thriller"
1540,The Whale,Drama
1541,27 Dresses,"Comedy, Romance"
1542,Shame,Drama
1543,T2 Trainspotting,"Drama, Comedy"
1544,"Crouching Tiger, Hidden Dragon","Adventure, Drama, Action, Romance"
1545,Twister,"Action, Adventure, Drama"
1546,A History of Violence,"Drama, Thriller, Crime"
1547,Knock Knock,Thriller
1548,Self/less,"Science Fiction, Mystery, Thriller, Action"
1549,Rocky V,Drama
1550,Rush Hour 3,"Action, Comedy, Crime"
1551,Triple Frontier,"Action, Thriller, Crime, Adventure"
1552,The Great Beauty,Drama
1553,Predator 2,"Science Fiction, Action, Thriller"
1554,Cloudy with a Chance of Meatballs 2,"Animation, Family, Comedy"
1555,The Bling Ring,"Drama, Crime"
1556,Valentine's Day,"Comedy, Romance"
1557,The Virgin Suicides,"Drama, Romance"
1558,The Taking of Pelham 1 2 3,"Crime, Thriller, Action"
1559,The Scorpion King,"Action, Adventure, Fantasy"
1560,Side Effects,"Thriller, Crime, Drama"
1561,Young Frankenstein,Comedy
1562,Still Alice,Drama
1563,The Texas Chain Saw Massacre,Horror
1564,Tag,"Comedy, Action"
1565,Rambo III,"Action, Adventure, Thriller, War"
1566,The Hunt,"Action, Thriller, Horror"
1567,Boogie Nights,Drama
1568,21 Grams,"Drama, Crime, Thriller"
1569,Resident Evil: The Final Chapter,"Action, Horror, Science Fiction"
1570,Crawl,"Thriller, Horror, Action"
1571,Carlito's Way,"Crime, Drama, Romance, Thriller"
1572,Anger Management,Comedy
1573,Brightburn,"Horror, Science Fiction, Thriller, Mystery"
1574,Austin Powers in Goldmember,"Comedy, Crime, Science Fiction"
1575,Erin Brockovich,Drama
1576,Bride Wars,"Comedy, Romance"
1577,Step Brothers,Comedy
1578,The Tree of Life,"Drama, Fantasy"
1579,The Pacifier,"Comedy, Family, Action"
1580,Singin' in the Rain,"Comedy, Romance"
1581,Master and Commander: The Far Side of the World,"Adventure, Drama, War"
1582,Two Is a Family,"Drama, Comedy"
1583,Doctor Dolittle,"Comedy, Family, Fantasy"
1584,The Emoji Movie,"Animation, Family, Comedy"
1585,Lawless,"Crime, Drama, Western"
1586,Army of Darkness,"Fantasy, Horror, Comedy"
1587,What Happens in Vegas,"Comedy, Romance"
1588,Shakespeare in Love,"Romance, History, Comedy"
1589,Silence,"Drama, History"
1590,Saw VI,"Horror, Thriller"
1591,Parker,"Action, Crime"
1592,Underwater,"Horror, Science Fiction, Action, Adventure"
1593,Hitman: Agent 47,"Action, Crime, Thriller"
1594,Last Night in Soho,"Mystery, Thriller, Horror"
1595,Charlie's Angels: Full Throttle,"Action, Adventure, Comedy"
1596,The Tomorrow War,"Action, Science Fiction, Adventure"
1597,Escape from New York,"Science Fiction, Action"
1598,Nanny McPhee,"Fantasy, Comedy, Family"
1599,Tomorrow Never Dies,"Adventure, Action, Thriller"
1600,Fantasia,"Animation, Family"
1601,Three Steps Above Heaven,"Romance, Drama"
1602,The Reader,"Drama, Romance"
1603,The Secret Life of Pets 2,"Adventure, Animation, Comedy, Family"
1604,Memoirs of a Geisha,"Drama, Romance, History"
1605,A Knight's Tale,"Adventure, Drama, Romance, Action"
1606,"Honey, I Shrunk the Kids","Adventure, Comedy, Family, Science Fiction"
1607,Elvis,"Drama, Music, History"
1608,Another Round,"Comedy, Drama"
1609,Promising Young Woman,"Thriller, Crime, Drama"
1610,The Lion King 1½,"Family, Animation, Comedy, Action"
1611,The Father,Drama
1612,Magic Mike,"Drama, Comedy"
1613,The Last of the Mohicans,"Action, Adventure, Drama, History, Romance, War"
1614,Evil Dead II,"Horror, Comedy, Fantasy"
1615,The Trial of the Chicago 7,"Drama, History"
1616,Robin Hood,"Adventure, Action, Thriller"
1617,She's the Man,"Comedy, Romance"
1618,House of Gucci,"Drama, History, Crime"
1619,House of Wax,"Horror, Thriller"
1620,American Assassin,"Action, Thriller"
1621,Body of Lies,"Action, Drama, Thriller"
1622,Home Alone 3,"Comedy, Family"
1623,Money Monster,"Thriller, Drama"
1624,Charlie's Angels,"Action, Adventure, Comedy"
1625,Hustlers,"Drama, Comedy, Crime"
1626,Through My Window,"Drama, Romance, Comedy"
1627,Bombshell,Drama
1628,Bridget Jones's Baby,"Comedy, Romance"
1629,Deep Impact,"Action, Drama, Science Fiction"
1630,Abduction,"Thriller, Action, Mystery"
1631,Scream,"Horror, Mystery, Thriller"
1632,The Family,"Crime, Comedy, Action"
1633,"10,000 BC","Adventure, Action, Drama, Fantasy"
1634,The Girl with the Dragon Tattoo,"Drama, Thriller, Crime, Mystery"
1635,The Call,"Crime, Thriller"
1636,Carnage,"Comedy, Drama"
1637,The Butler,Drama
1638,Tower Heist,"Action, Comedy"
1639,Letters to Juliet,"Comedy, Drama, Romance"
1640,The Master,Drama
1641,Hocus Pocus,"Fantasy, Comedy, Family"
